ID,OneHotEncoder,LetterComposition
41,[0 0 0 ... 0 0 1],"[0.04391218 0.         0.02195609 0.06387226 0.07784431 0.04590818
 0.03592814 0.03193613 0.06187625 0.         0.05389222 0.0738523
 0.02195609 0.06387226 0.         0.04191617 0.02195609 0.0738523
 0.08782435 0.06187625 0.06187625 0.01796407 0.03592814 0.        ]"
42,[0 0 0 ... 0 0 1],"[0.04518664 0.         0.021611   0.06090373 0.07662083 0.04911591
 0.03536346 0.03536346 0.06090373 0.         0.05304519 0.08251473
 0.021611   0.06090373 0.         0.04518664 0.02357564 0.06876228
 0.08840864 0.06286837 0.0589391  0.01571709 0.03339882 0.        ]"
43,[0 0 0 ... 0 0 1],"[0.0462963  0.         0.0162037  0.06712963 0.0787037  0.05092593
 0.03240741 0.03009259 0.06481481 0.         0.0625     0.06481481
 0.02314815 0.07407407 0.         0.03703704 0.02083333 0.06944444
 0.08101852 0.0625     0.0625     0.01388889 0.04166667 0.        ]"
44,[0 0 0 ... 0 0 1],"[0.0564663  0.         0.0273224  0.0564663  0.07285974 0.04189435
 0.03642987 0.0273224  0.0582878  0.         0.04918033 0.07285974
 0.02003643 0.0564663  0.         0.06010929 0.02185792 0.07103825
 0.10382514 0.06010929 0.06010929 0.01457195 0.03278689 0.        ]"
45,[0 0 0 ... 0 0 1],"[0.06851312 0.         0.01895044 0.09912536 0.10932945 0.03061224
 0.02623907 0.03061224 0.04956268 0.         0.09912536 0.04373178
 0.02769679 0.0335277  0.         0.04373178 0.02915452 0.05247813
 0.06997085 0.05247813 0.06413994 0.01020408 0.04081633 0.        ]"
46,[0 0 0 ... 0 0 1],"[0.06871345 0.         0.01900585 0.0994152  0.10964912 0.03070175
 0.02631579 0.03070175 0.04824561 0.         0.09795322 0.04385965
 0.02777778 0.03362573 0.         0.04385965 0.02923977 0.05263158
 0.07017544 0.05263158 0.06432749 0.01023392 0.04093567 0.        ]"
47,[0 0 0 ... 0 0 1],"[0.0917782  0.         0.01529637 0.02868069 0.03824092 0.07456979
 0.07265774 0.01147228 0.11089866 0.         0.03441683 0.09560229
 0.03632887 0.04397706 0.         0.04397706 0.02294455 0.03441683
 0.08604207 0.04206501 0.07265774 0.01529637 0.02868069 0.        ]"
48,[0 0 0 ... 0 0 1],"[0.09161793 0.         0.01559454 0.02923977 0.03898635 0.07407407
 0.07212476 0.01169591 0.11306043 0.         0.03508772 0.09551657
 0.03508772 0.04288499 0.         0.04483431 0.02339181 0.03508772
 0.08382066 0.04288499 0.07017544 0.01559454 0.02923977 0.        ]"
49,[0 0 0 ... 0 0 1],"[0.08450704 0.         0.01408451 0.05231388 0.07243461 0.03822938
 0.0583501  0.03018109 0.05231388 0.         0.02816901 0.12474849
 0.01609658 0.00804829 0.         0.06036217 0.05030181 0.05633803
 0.08450704 0.06438632 0.07042254 0.01408451 0.02012072 0.        ]"
50,[0 0 0 ... 0 0 1],"[0.08553971 0.         0.01425662 0.05295316 0.07331976 0.03665988
 0.05906314 0.0305499  0.05295316 0.         0.02851324 0.12423625
 0.01629328 0.00814664 0.         0.0610998  0.04887984 0.05702648
 0.0814664  0.06313646 0.0712831  0.01425662 0.0203666  0.        ]"
